    reftest_runner_test.go:134: Found 99 WPT reftest files
    reftest_runner_test.go:148: Summary: 99/99 passed, 0 failed
--- PASS: TestWPTReftests (3.62s)
    --- PASS: TestWPTReftests/dimension-constraints/min-width-001.xht (0.03s)
    --- PASS: TestWPTReftests/display/anonymous-block-001.html (0.03s)
    --- PASS: TestWPTReftests/display/display-inline-001.html (0.03s)
    --- PASS: TestWPTReftests/display/display-none-001.html (0.03s)
    --- PASS: TestWPTReftests/floats/float-no-content-beside-001.html (0.04s)
    --- PASS: TestWPTReftests/floats/float-nowrap-3.html (0.04s)
    --- PASS: TestWPTReftests/floats/float-nowrap-4.html (0.03s)
    --- PASS: TestWPTReftests/floats/float-root.html (0.03s)
    --- PASS: TestWPTReftests/generated-content/after-content-display-001.xht (0.04s)
    --- PASS: TestWPTReftests/generated-content/after-content-display-002.xht (0.04s)
    --- PASS: TestWPTReftests/generated-content/after-content-display-003.xht (0.04s)
    --- PASS: TestWPTReftests/generated-content/before-after-011.xht (0.04s)
    --- PASS: TestWPTReftests/generated-content/before-after-display-types-001.xht (0.05s)
    --- PASS: TestWPTReftests/generated-content/before-after-floated-001.xht (0.04s)
    --- PASS: TestWPTReftests/linebox/border-padding-bleed-001.xht (0.04s)
    --- PASS: TestWPTReftests/linebox/inline-box-001.xht (0.04s)
    --- PASS: TestWPTReftests/linebox/inline-box-002.xht (0.04s)
    --- PASS: TestWPTReftests/linebox/inline-formatting-context-001.xht (0.04s)
    --- PASS: TestWPTReftests/linebox/inline-formatting-context-002.xht (0.03s)
    --- PASS: TestWPTReftests/margin-collapse/collapse-through-empty-001.html (0.03s)
    --- PASS: TestWPTReftests/margin-collapse/negative-positive-001.html (0.03s)
    --- PASS: TestWPTReftests/margin-collapse/parent-child-top-001.html (0.03s)
    --- PASS: TestWPTReftests/margin-padding-clear/clear-both-001.xht (0.03s)
    --- PASS: TestWPTReftests/margin-padding-clear/margin-001.xht (0.04s)
    --- PASS: TestWPTReftests/normal-flow/auto-height-ignores-abspos-001.html (0.03s)
    --- PASS: TestWPTReftests/normal-flow/bfc-float-containment-001.html (0.03s)
    --- PASS: TestWPTReftests/normal-flow/block-edge-left-001.html (0.03s)
    --- PASS: TestWPTReftests/normal-flow/block-formatting-contexts-005.xht (0.03s)
    --- PASS: TestWPTReftests/normal-flow/block-vertical-stack-001.html (0.03s)
    --- PASS: TestWPTReftests/opacity/t32-opacity-basic-0.0-a.xht (0.03s)
    --- PASS: TestWPTReftests/opacity/t32-opacity-clamping-1.0-b.xht (0.04s)
    --- PASS: TestWPTReftests/opacity/t32-opacity-offscreen-b.xht (0.04s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-002.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-abspos-001.html (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-abspos-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-bfc-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-child-001.html (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-height-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-negative-margin-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-hidden-nested-001.xht (0.03s)
    --- PASS: TestWPTReftests/overflow/overflow-visible-001.xht (0.03s)
    --- PASS: TestWPTReftests/positioning/absolute-non-replaced-height-002.xht (0.04s)
    --- PASS: TestWPTReftests/positioning/absolute-non-replaced-height-003.xht (0.04s)
    --- PASS: TestWPTReftests/positioning/absolute-non-replaced-height-006.xht (0.04s)
    --- PASS: TestWPTReftests/positioning/relative-percent-001.html (0.03s)
    --- PASS: TestWPTReftests/positioning/z-index-negative-001.html (0.05s)
    --- PASS: TestWPTReftests/positioning/z-index-stacking-001.html (0.04s)
    --- PASS: TestWPTReftests/pseudo-elements/after-content-001.html (0.03s)
    --- PASS: TestWPTReftests/pseudo-elements/before-after-combined-001.html (0.03s)
    --- PASS: TestWPTReftests/pseudo-elements/before-block-001.html (0.03s)
    --- PASS: TestWPTReftests/sizing/max-width-001.html (0.03s)
    --- PASS: TestWPTReftests/sizing/min-width-001.html (0.03s)
    --- PASS: TestWPTReftests/sizing/percentage-height-001.html (0.03s)
    --- PASS: TestWPTReftests/stacking-context/opacity-affects-block-in-inline.html (0.04s)
    --- PASS: TestWPTReftests/table/table-basic-001.xht (0.03s)
    --- PASS: TestWPTReftests/text/letter-spacing-004.xht (0.04s)
    --- PASS: TestWPTReftests/text/letter-spacing-007.xht (0.04s)
    --- PASS: TestWPTReftests/text/text-align-center.xht (0.03s)
    --- PASS: TestWPTReftests/text/text-indent-001.xht (0.03s)
    --- PASS: TestWPTReftests/text/text-indent-002.xht (0.03s)
    --- PASS: TestWPTReftests/text/word-spacing-001.xht (0.04s)
    --- PASS: TestWPTReftests/visudet/height-applies-to-010a.xht (0.05s)
    --- PASS: TestWPTReftests/visudet/height-computed-001.xht (0.05s)
    --- PASS: TestWPTReftests/visudet/height-percentage-003a.xht (0.04s)
    --- PASS: TestWPTReftests/visudet/height-percentage-004.xht (0.04s)
    --- PASS: TestWPTReftests/visudet/inline-block-baseline-001.xht (0.04s)
    --- PASS: TestWPTReftests/zindex/z-index-001.xht (0.03s)
    --- PASS: TestWPTReftests/zindex/z-index-002.xht (0.03s)
    --- PASS: TestWPTReftests/zindex/z-index-004.xht (0.03s)
    --- PASS: TestWPTReftests/zindex/z-index-005.xht (0.03s)
    --- PASS: TestWPTReftests/zindex/z-index-006.xht (0.03s)
    --- PASS: TestWPTReftests/zindex/z-index-007.xht (0.03s)
    --- PASS: TestWPTReftests/linebox/empty-inline-002.xht (0.04s)
    reftest_runner_test.go:195: Found 6722 WPT CSS3 reftest files
    reftest_runner_test.go:215: Summary: 4052/6722 passed, 2529 failed
--- FAIL: TestWPTCSS3Reftests (256.67s)
    --- PASS: TestWPTCSS3Reftests/compositing/isolation-blend-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/isolation-stacking-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/compositing/isolation-zindex-order-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/compositing/mix-blend-mode-blending-with-sibling.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/compositing/mix-blend-mode-overflowing-child.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/compositing/mix-blend-mode-parent-with-border-radius.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/mix-blend-mode-simple.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-background-image-transparency-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-background-image-transparency-002.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-background-image-transparency-003.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-background-image-transparency-004.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/compositing/root-element-background-margin-opacity.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/compositing/root-element-background-transparency.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-blend-mode.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-filter.html (0.14s)
    --- PASS: TestWPTCSS3Reftests/compositing/root-element-opacity-change.html (0.05s)
    --- FAIL: TestWPTCSS3Reftests/compositing/root-element-opacity.html (0.05s)
    --- FAIL: TestWPTCSS3Reftests/css-align/baseline-of-scrollable-1a.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-align/baseline-of-scrollable-1b.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-align/baseline-of-scrollable-2.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-align/place-content-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-align/place-items-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-align/place-items-002.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-align/place-self-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animate-font-size-with-margin-override.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animate-with-background-color-hsla-to-legacy-rgb.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/animate-with-background-color-oklch-001.html (0.04s)
    --- SKIP: TestWPTCSS3Reftests/css-animations/animation-delay-008.html (0.00s)
    --- SKIP: TestWPTCSS3Reftests/css-animations/animation-delay-009.html (0.00s)
    --- SKIP: TestWPTCSS3Reftests/css-animations/animation-delay-010.html (0.00s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-delay-011.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-duration-infinite.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-important-002.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/animation-name-in-nested-shadow.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-name-in-shadow-part-inner-match.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/animation-name-in-shadow-part-outer-match.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-name-in-shadow-part.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-offscreen-to-onscreen.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/animation-opacity-pause-and-set-time.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/animation-pseudo-dynamic-001.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/animation-transform-pause-and-set-time.html (0.04s)
    --- SKIP: TestWPTCSS3Reftests/css-animations/cancel-animation-shadow-slot-invalidation.html (0.01s)
    --- SKIP: TestWPTCSS3Reftests/css-animations/display-none-to-display-block.html (0.01s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/flip-running-animation-via-variable.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/inheritance-pseudo-element.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/jump-start-animation-before-phase.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/keyframes-parse-001.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-animations/nested-scale-animations.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-animations/parent-after-change-style-pseudo-element-flicker.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/svg-transform-animation.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/transform-animation-under-large-scale.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/translation-animation-on-important-property.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-animations/translation-animation-subpixel-offset.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-334.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-350.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-353.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-fixed-block-002.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-fixed-border-radius-offset.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-fixed-inline-002.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-fixed-inline-scrolled.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-fixed-inside-transform-1.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-local-block-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-local-hidden.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-attachment-local-inline-002.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-margin-root-001.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-attachment-margin-root-002.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-002.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-003.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-004.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-005.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-006.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-007.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-008.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-clip-009.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-010.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-color-repaint.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-color.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-content-box-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-content-box-002.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-clip-content-box-with-border-radius-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-clip-content-box-with-border-radius-003.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-padding-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-padding-box-001.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-clip-padding-box-with-border-radius-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-clip-padding-box-with-border-radius-003.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip-padding-box-with-border-radius.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-clip_padding-box.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-003.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-004.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-005.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-006.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-007.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-008.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-color-body-propagation-009.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-color-clip.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-root-propagation-001.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-color-root-propagation-002.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-gradient-interpolation-003.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-gradient-subpixel-fills-area.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-002.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-003.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-004.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-005.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-006.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-007.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-centered-with-border-radius.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-centered.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-cover-zoomed-1.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-first-letter.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-first-line.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-gradient-currentcolor-conic-repaint.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-gradient-currentcolor-linear-repaint.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-gradient-currentcolor-radial-repaint.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-gradient-currentcolor-visited.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-gradient-interpolation-repaint.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-large-with-auto.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-none-gradient-repaint.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-shared-stylesheet.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-table-cells-straddling-no-repeat.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-image-table-cells-zoomed.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-image-with-border-radius-fidelity.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-margin-iframe-root.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-margin-root.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-margin-transformed-root.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-margin-will-change-root.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-none-none-and-color.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-003.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-004.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-005.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-006.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-origin-007.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-origin-008.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-origin-border-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-origin-content-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-origin-padding-001.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-paint-order-001.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-position-001.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-position-calc-minmax-001.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-position-negative-percentage-comparison-002.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-position-negative-percentage-comparison.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-position-subpixel-at-border.tentative.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-position-three-four-values.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-position-xy-three-four-values-passthru.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-1a.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-1b.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-1c.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-1d.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-1e.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-2.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-3.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-round-4.html (0.03s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-10.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-1a.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-1b.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-1c.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-2.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-3.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-4.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-5.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-6.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-7.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-8.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-repeat-space-9.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-rounded-image-clip-001.html (0.05s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-rounded-image-clip-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-001.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-005.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-006.html (0.04s)
    --- SKIP: TestWPTCSS3Reftests/css-backgrounds/background-size-007.html (0.01s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-008.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-009.html (0.04s)
    --- SKIP: TestWPTCSS3Reftests/css-backgrounds/background-size-010.html (0.01s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-011.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-012.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-013.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-014.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-015.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-016.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-017.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-018.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-019.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-020.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-021.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-025.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-026.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-027.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-028.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-029.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-030.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-031.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-034.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-041.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-042.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-043.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-044.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-contain-001.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-contain-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-cover-001.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-cover-002.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-cover-003.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/background-size-one-value-1x1-image.html (0.03s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-percentage-root.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/background-size-with-negative-value.html (0.04s)
    --- FAIL: TestWPTCSS3Reftests/css-backgrounds/bg-color-with-gradient.html (0.04s)
    --- PASS: TestWPTCSS3Reftests/css-backgrounds/border-bottom-left-radius-001.xht (0.04s)
